svc_category,domain_name,ip_addr,svc_bridge,svc_type,svc_sub_type,base_domain,k8s_name,container_name
services,a.root-servers.net,198.41.0.4,rtr1-svc,dns,root,root-servers.net,dns-a-root,bind
services,b.root-servers.net,199.9.14.201,rtr1-svc,dns,root,root-servers.net,dns-b-root,bind
services,c.root-servers.net,192.33.4.12,rtr1-svc,dns,root,root-servers.net,dns-c-root,bind
services,d.root-servers.net,199.7.91.13,rtr1-svc,dns,root,root-servers.net,dns-d-root,bind
services,d.root-servers.net,192.203.230.10,rtr1-svc,dns,root,root-servers.net,dns-e-root,bind
services,f.root-servers.net,192.5.5.241,rtr1-svc,dns,root,root-servers.net,dns-f-root,bind
services,g.root-servers.net,192.112.36.4,rtr1-svc,dns,root,root-servers.net,dns-g-root,bind
services,h.root-servers.net,198.97.190.53,rtr1-svc,dns,root,root-servers.net,dns-h-root,bind
services,i.root-servers.net,192.36.148.17,rtr4-svc,dns,root,root-servers.net,dns-i-root,bind
services,j.root-servers.net,192.58.128.30,rtr1-svc,dns,root,root-servers.net,dns-j-root,bind
services,k.root-servers.net,193.0.14.129,rtr4-svc,dns,root,root-servers.net,dns-k-root,bind
services,l.root-servers.net,199.7.83.42,rtr1-svc,dns,root,root-servers.net,dns-l-root,bind
services,m.root-servers.net,202.12.27.33,rtr5-svc,dns,root,root-servers.net,dns-m-root,bind
services,ac1.nstld.com,192.42.173.30,rtr1-svc,dns,authoritative,nstld.com,dns-ac1-nstld,bind
services,ac2.nstld.com,192.42.174.30,rtr1-svc,dns,authoritative,nstld.com,dns-ac2-nstld,bind
services,a.nic.dns-tld.site,37.209.192.9,rtr4-svc,dns,authoritative,dns-tld.site,dns-a-nic,bind
services,b.nic.dns-tld.site,37.209.194.9,rtr4-svc,dns,authoritative,dns-tld.site,dns-b-nic,bind
services,google-public-dns-a.google.com,8.8.8.8,rtr1-svc,dns,recursive,google.com,dns-google-a,bind
services,google-public-dns-b.google.com,8.8.4.4,rtr1-svc,dns,recursive,google.com,dns-google-b,bind
services,dns.quad9.net,9.9.9.9,rtr1-svc,dns,recursive,quad9.net,dns-quad9-01,bind
services,dns.quad9.net,149.112.112.112,rtr1-svc,dns,recursive,quad9.net,dns-quad9-02,bind
services,google.com,172.217.0.78,rtr1-svc,web,https,google.com,www-google,nginx
services,microsoft.com,40.76.4.15,rtr1-svc,web,https,microsoft.com,www-microsoft,nginx
services,wikipedia.org,208.80.154.224,rtr1-svc,web,https,wikipedia.org,www-wikipedia,nginx
services,elsalvador.com,179.249.122.52,rtr2-svc,web,https,elsalvador.com,www-elsalvador,nginx
services,elgenero.com,201.23.113.243,rtr2-svc,web,https,elgenero.com,www-elgenero,nginx
services,facebook.com,31.13.65.36,rtr4-svc,web,https,facebook.com,www-facebook,nginx
services,yandex.ru,77.88.55.55,rtr4-svc,web,https,yandex.ru,www-yandex,nginx
services,rtl.lu,81.92.237.71,rtr4-svc,web,https,rtl.lu,www-rtl,nginx
services,standardmedia.co.ke,105.20.205.11,rtr6-svc,web,https,standardmedia.co.ke,www-standardmedia,nginx
services,fakaza.com,154.162.225.76,rtr6-svc,web,https,fakaza.com,www-fakaza,nginx
services,livedoor.com,202.104.153.16,rtr5-svc,web,https,livedoor.com,www-livedoor,nginx
services,sabq.org,105.16.44.64,rtr5-svc,web,https,sabq.org,www-sabaq,nginx
