svc_category,domain_name,ip_addr,svc_bridge,svc_type,svc_sub_type,base_domain,k8s_name
services,a.root-servers.net,198.41.0.4,na-svc,dns,root,root-servers.net,dns-a-root
services,b.root-servers.net,199.9.14.201,na-svc,dns,root,root-servers.net,dns-b-root
services,c.root-servers.net,192.33.4.12,na-svc,dns,root,root-servers.net,dns-c-root
services,d.root-servers.net,199.7.91.13,na-svc,dns,root,root-servers.net,dns-d-root
services,d.root-servers.net,192.203.230.10,na-svc,dns,root,root-servers.net,dns-e-root
services,f.root-servers.net,192.5.5.241,na-svc,dns,root,root-servers.net,dns-f-root
services,g.root-servers.net,192.112.36.4,na-svc,dns,root,root-servers.net,dns-g-root
services,h.root-servers.net,198.97.190.53,na-svc,dns,root,root-servers.net,dns-h-root
services,i.root-servers.net,192.36.148.17,eu-svc,dns,root,root-servers.net,dns-i-root
services,j.root-servers.net,192.58.128.30,na-svc,dns,root,root-servers.net,dns-j-root
services,k.root-servers.net,193.0.14.129,eu-svc,dns,root,root-servers.net,dns-k-root
services,l.root-servers.net,199.7.83.42,na-svc,dns,root,root-servers.net,dns-l-root
services,m.root-servers.net,202.12.27.33,as-svc,dns,root,root-servers.net,dns-m-root
services,ac1.nstld.com,192.42.173.30,na-svc,dns,authoritative,nstld.com,dns-ac1-nstld
services,ac2.nstld.com,192.42.174.30,na-svc,dns,authoritative,nstld.com,dns-ac2-nstld
services,a.nic.dns-tld.site,37.209.192.9,eu-svc,dns,authoritative,dns-tld.site,dns-a-nic
services,b.nic.dns-tld.site,37.209.194.9,eu-svc,dns,authoritative,dns-tld.site,dns-b-nic
services,google-public-dns-a.google.com,8.8.8.8,na-svc,dns,recursive,google.com,dns-google-a
services,google-public-dns-b.google.com,8.8.4.4,na-svc,dns,recursive,google.com,dns-google-b
services,dns.quad9.net,9.9.9.9,na-svc,dns,recursive,quad9.net,dns-quad9-01
services,dns.quad9.net,149.112.112.112,na-svc,dns,recursive,quad9.net,dns-quad9-02
services,google.com,172.217.0.78,na-svc,web,https,google.com,www-google
services,microsoft.com,40.76.4.15,na-svc,web,https,microsoft.com,www-microsoft
services,wikipedia.org,208.80.154.224,na-svc,web,https,wikipedia.org,www-wikipedia
services,elsalvador.com,179.249.122.52,la-svc,web,https,elsalvador.com,www-elsalvador
services,elgenero.com,201.23.113.243,la-svc,web,http,elgenero.com,www-elgenero
services,facebook.com,31.13.65.36,eu-svc,web,https,facebook.com,www-facebook
services,yandex.ru,77.88.55.55,eu-svc,web,https,yandex.ru,www-yandex
services,rtl.lu,81.92.237.71,eu-svc,web,https,rtl.lu,www-rtl
services,standardmedia.co.ke,105.20.205.11,af-svc,web,https,standardmedia.co.ke,www-standardmedia
services,fakaza.com,154.162.225.76,af-svc,web,https,fakaza.com,www-fakaza
services,livedoor.com,202.104.153.16,as-svc,web,http,livedoor.com,www-livedoor
