svc_category,domain_name,ip_addr,bridge,type,base_domain
dns,a.root-servers.net,198.41.0.4,na-svc,root,root-servers.net
dns,b.root-servers.net,199.9.14.201,na-svc,root,root-servers.net
dns,c.root-servers.net,192.33.4.12,na-svc,root,root-servers.net
dns,d.root-servers.net,199.7.91.13,na-svc,root,root-servers.net
dns,d.root-servers.net,192.203.230.10,na-svc,root,root-servers.net
dns,f.root-servers.net,192.5.5.241,na-svc,root,root-servers.net
dns,g.root-servers.net,192.112.36.4,na-svc,root,root-servers.net
dns,h.root-servers.net,198.97.190.53,na-svc,root,root-servers.net
dns,i.root-servers.net,192.36.148.17,eu-svc,root,root-servers.net
dns,j.root-servers.net,192.58.128.30,na-svc,root,root-servers.net
dns,k.root-servers.net,193.0.14.129,eu-svc,root,root-servers.net
dns,l.root-servers.net,199.7.83.42,na-svc,root,root-servers.net
dns,m.root-servers.net,202.12.27.33,as-svc,root,root-servers.net
dns,ac1.nstld.com,192.42.173.30,na-svc,authoritative,nstld.com
dns,ac2.nstld.com,192.42.174.30,na-svc,authoritative,nstld.com
dns,a.nic.dns-tld.site,37.209.192.9,eu-svc,authoritative,dns-tld.site
dns,b.nic.dns-tld.site,37.209.194.9,eu-svc,authoritative,dns-tld.site
dns,google-public-dns-a.google.com,8.8.8.8,na-svc,recursive,google.com
dns,google-public-dns-b.google.com,8.8.4.4,na-svc,recursive,google.com
dns,dns.quad9.net,9.9.9.9,na-svc,recursive,quad9.net
dns,dns.quad9.net,149.112.112.112,na-svc,recursive,quad9.net
web,google.com,172.217.0.78,na-svc,https,google.com
web,microsoft.com,40.76.4.15,na-svc,https,microsoft.com
web,wikipedia.org,208.80.154.224,na-svc,https,wikipedia.org
web,elsalvador.com,179.249.122.52,la-svc,https,elsalvador.com
web,elgenero.com,201.23.113.243,la-svc,http,elgenero.com
web,facebook.com,31.13.65.36,eu-svc,https,facebook.com
web,yandex.ru,77.88.55.55,eu-svc,https,yandex.ru
web,rtl.lu,81.92.237.71,eu-svc,https,rtl.lu
web,standardmedia.co.ke,105.20.205.11,af-svc,https,standardmedia.co.ke
web,fakaza.com,154.162.225.76,af-svc,https,fakaza.com
web,livedoor.com,202.104.153.16,as-svc,http,livedoor.com
web,sabq.org,105.16.44.64,as-svc,https,sabq.org
web,baidu.com,123.125.114.144,as-svc,http,baidu.com
web,ebay.com.au,58.135.195.175,au-svc,https,ebay.com.au
web,trademe.co.nz,203.162.72.2,au-svc,https,trademe.co.nz
ntp,0.asia.pool.ntp.org,49.19.96.19,as-svc,time,pool.ntp.org
ntp,1.asia.pool.ntp.org,202.28.93.5,as-svc,time,pool.ntp.org
ntp,0.europe.pool.ntp.org,89.120.166.8,eu-svc,time,pool.ntp.org
ntp,1.europe.pool.ntp.org,81.94.123.17,eu-svc,time,pool.ntp.org
ntp,0.pool.ntp.org,64.6.144.6,na-svc,time,pool.ntp.org
ntp,1.pool.ntp.org,204.11.201.12,na-svc,time,pool.ntp.org
ntp,pool.ntp.org,107.15.121.121,na-svc,time,pool.ntp.org
smtp,aspmx.l.google.com,74.125.21.26,na-svc,mail,google.com
smtp,microsoft-com.mail.protection.outlook.com,104.47.54.36,na-svc,mail,outlook.com
smtp,smtpin.vvv.facebook.com,176.252.127.251,eu-svc,mail,facebook.com
smtp,mx.maillb.baidu.com,12.0.243.41,as-svc,mail,baidu.com
chat,chattermost.com,35.237.122.162,na-svc,,chattermost.com
search,search.com,64.30.228.118,na-svc,,search.com
cloud,cloud.com,52.72.80.12,na-svc,,cloud.com
webmail,mail.email.com,68.178.213.60,na-svc,,email.com
vpn,vpn.com,34.202.89.42,na-svc,,vpn.com
vpn,ausvpn.com,150.1.79.230,au-svc,,ausvpn.com
vpn,expressvpn.com,31.32.247.106,eu-svc,,expressvpn.com
vpn,nordvpn.com,106.18.229.229,as-svc,,nordvpn.com
vpn,privatevpn.com,196.24.4.13,af-svc,,privatevpn.com
vpn,ipvanish.com,201.185.216.42,la-svc,,ipvanish.com
attack,na-attacker,73.103.29.155,na-svc,metasploit,
attack,af-attacker,105.114.32.193,af-svc,metasploit,
attack,la-attacker,187.10.12.64,la-svc,metasploit,
attack,au-attacker,114.21.3.146,au-svc,metasploit,
attack,as-attacker,211.121.332.14,as-svc,kali,
attack,eu-attacker,145.123.12.133,eu-svc,kali,
vulnerable,dvwa.com,69.172.201.153,na-svc,dvwa,dvwa.com
vulnerable,webgoat.com,105.63.202.33,af-svc,webgoat,nodegoat.org
vulnerable,nodegoat.org,41.229.60.66,af-svc,nodegoat,nodegoat.org
vulnerable,wordpress.org,198.143.164.252,na-svc,wordpress,wordpress.org
vulnerable,mutillidae.co.uk,176.236.185.107,eu-svc,mutillidae,mutillidae.co.uk
vulnerable,juiceshop.br,186.168.131.241,la-svc,juice_shop,juiceshop.br
vulnerable,shepherd.com.au,114.164.214.152,au-svc,sec_shepherd,shepherd.com.au
vulnerable,drupal.com,104.17.123.36,na-svc,drupal,drupal.com
vulnerable,struts.org,182.186.209.136,as-svc,struts,strus.org
vulnerable,vulnasploit.org,128.143.18.14,na-svc,metasploit-vuln-svc,vulnasploit.org
attack,attack.mitre.com,81.29.79.15,na-svc,mitre,mitre.com
ftp,ftp.cisco.com,72.163.4.185,na-svc,ftps,cisco.com
ftp,ftp.adobe.com,193.104.215.58,na-svc,ftps,adobe.com
ftp,ftp.malwr.cn,61.62.202.101,as-svc,ftp,malwr.cn
ftp,ftp.music.ru,212.2.123.43,eu-svc,ftp,music.ru
media,stream.com,184.29.214.127,na-svc,,stream.com
traffic,na-traffic,3.120.3.120,na-svc,trex,
traffic,eu-traffic,85.84.83.82,eu-svc,trex,
traffic,as-traffic,113.114.115.116,as-svc,trex,
traffic,au-traffic,150.151.152.133,au-svc,ostinato,
traffic,af-traffic,102.103.104.105,af-svc,ostinato,
traffic,la-traffic,190.187.13.14,la-svc,ostinato,
